Pincode,District
110001,CENTRAL DELHI
110002,New Delhi
110003,SOUTH DELHI
110004,CENTRAL DELHI
110005,CENTRAL DELHI
110006,NORTH DELHI
110007,NORTH DELHI
110008,CENTRAL DELHI
110009,NORTH DELHI
110010,NEW DELHI
110011,CENTRAL DELHI
110012,CENTRAL DELHI
110013,SOUTH DELHI
110014,SOUTH DELHI
110015,WEST DELHI
110016,SOUTH DELHI
110017,SOUTH DELHI
110018,WEST DELHI
110019,SOUTH DELHI
110020,SOUTH DELHI
110021,SOUTH WEST DELHI
110022,NEW DELHI
110023,NEW DELHI
110024,SOUTH DELHI
110025,SOUTH DELHI
110026,WEST DELHI
110027,WEST DELHI
110028,SOUTH WEST DELHI
110029,NEW DELHI
110030,SOUTH DELHI
110031,EAST DELHI
110032,SHAHDARA
110033,NORTH WEST DELHI
110034,NORTH WEST DELHI
110035,NORTH WEST DELHI
110036,NORTH DELHI
110037,NEW DELHI
110038,NEW DELHI
110039,NORTH DELHI
110040,NORTH DELHI
110041,WEST DELHI
110042,NORTH WEST DELHI
110043,SOUTH WEST DELHI
110044,SOUTH DELHI
110045,WEST DELHI
110046,SOUTH WEST DELHI
110047,SOUTH DELHI
110048,SOUTH DELHI
110049,SOUTH DELHI
110051,SHAHDARA
110052,NORTH WEST DELHI
110053,NORTH EAST DELHI
110054,NORTH DELHI
110055,CENTRAL DELHI
110056,NORTH WEST DELHI
110057,NEW DELHI
110058,WEST DELHI
110059,WEST DELHI
110060,CENTRAL DELHI
110061,SOUTH WEST DELHI
110062,SOUTH DELHI
110063,WEST DELHI
110064,WEST DELHI
110065,SOUTH DELHI
110066,NEW DELHI
110067,SOUTH DELHI
110068,SOUTH DELHI
110069,CENTRAL DELHI
110070,NEW DELHI
110071,SOUTH WEST DELHI
110072,SOUTH WEST DELHI
110073,SOUTH WEST DELHI
110074,SOUTH DELHI
110075,SOUTH WEST DELHI
110076,SOUTH DELHI
110077,SOUTH WEST DELHI
110078,SOUTH WEST DELHI
110080,SOUTH DELHI
110081,NORTH DELHI
110082,NORTH DELHI
110083,NORTH WEST DELHI
110084,NORTH WEST DELHI
110085,NORTH WEST DELHI
110086,NORTH WEST DELHI
110087,WEST DELHI
110088,NORTH WEST DELHI
110089,NORTH WEST DELHI
110090,NORTH EAST DELHI
110091,EAST DELHI
110092,EAST DELHI
110093,NORTH EAST DELHI
110094,NORTH EAST DELHI
110095,EAST DELHI
110096,EAST DELHI
110097,SOUTH WEST DELHI
110099,NORTH WEST DELHI
121001,FARIDABAD
121002,FARIDABAD
121003,FARIDABAD
121004,FARIDABAD
121005,FARIDABAD
121006,FARIDABAD
121007,FARIDABAD
121008,FARIDABAD
121009,FARIDABAD
121010,FARIDABAD
121012,FARIDABAD
121013,FARIDABAD
121014,FARIDABAD
121015,FARIDABAD
121101,FARIDABAD
121102,FARIDABAD
121103,FARIDABAD
121105,FARIDABAD
121106,FARIDABAD
121107,FARIDABAD
122001,GURGAON
122002,GURGAON
122003,GURGAON
122004,GURGAON
122005,GURGAON
122006,GURGAON
122007,GURGAON
122008,GURGAON
122009,GURGAON
122010,GURGAON
122011,GURGAON
122012,GURGAON
122015,GURGAON
122016,GURGAON
122017,GURGAON
122018,GURGAON
122051,GURGAON
122052,GURGAON
122098,GURGAON
122101,GURGAON
122102,GURGAON
122103,GURGAON
122104,MEWAT
122105,MEWAT
122107,MEWAT
122108,MEWAT
122413,GURGAON
122414,FATEHABAD
122502,GURGAON
122503,GURGAON
122504,GURGAON
122505,GURGAON
122506,GURGAON
122508,MEWAT
123001,MAHENDRAGARH
123021,MAHENDRAGARH
123023,MAHENDRAGARH
123024,MAHENDRAGARH
123027,MAHENDRAGARH
123028,MAHENDRAGARH
123029,MAHENDRAGARH
123031,MAHENDRAGARH
123034,MAHENDRAGARH
123035,REWARI
123101,REWARI
123102,REWARI
123103,REWARI
123106,REWARI
123110,REWARI
123301,REWARI
123302,REWARI
123303,REWARI
123401,REWARI
123411,REWARI
123412,REWARI
123501,REWARI
124001,ROHTAK
124010,ROHTAK
124021,ROHTAK
124022,ROHTAK
124102,JHAJJAR
124103,JHAJJAR
124104,JHAJJAR
124105,JHAJJAR
124106,JHAJJAR
124107,JHAJJAR
124108,JHAJJAR
124109,JHAJJAR
124111,ROHTAK
124112,ROHTAK
124113,ROHTAK
124141,JHAJJAR
124142,JHAJJAR
124146,JHAJJAR
124201,JHAJJAR
124202,JHAJJAR
124303,ROHTAK
124401,ROHTAK
124404,JHAJJAR
124406,ROHTAK
124411,ROHTAK
124412,ROHTAK
124501,ROHTAK
124504,JHAJJAR
124505,JHAJJAR
124506,JHAJJAR
124507,JHAJJAR
124508,JHAJJAR
124513,ROHTAK
124514,ROHTAK
125001,HISAR
125004,HISAR
125005,HISAR
125006,HISAR
125007,HISAR
125011,HISAR
125033,HISAR
125037,HISAR
125038,HISAR
125039,HISAR
125042,HISAR
125044,HISAR
125047,HISAR
125048,FATEHABAD
125049,HISAR
125050,FATEHABAD
125051,FATEHABAD
125052,HISAR
125053,FATEHABAD
125054,SIRSA
125055,SIRSA
125056,SIRSA
125058,SIRSA
125060,SIRSA
125075,SIRSA
125076,SIRSA
125077,SIRSA
125078,SIRSA
125101,SIRSA
125102,SIRSA
125103,SIRSA
125104,SIRSA
125106,FATEHABAD
125110,SIRSA
125111,FATEHABAD
125112,FATEHABAD
125113,HISAR
125120,FATEHABAD
125121,HISAR
125133,HISAR
125201,SIRSA
126101,JIND
126102,JIND
126110,JIND
126111,JIND
126112,JIND
126113,JIND
126114,JIND
126115,JIND
126116,JIND
126125,JIND
126152,JIND
127021,BHIWANI
127022,BHIWANI
127025,BHIWANI
127026,BHIWANI
127027,BHIWANI
127028,BHIWANI
